Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
images20_jpg.rf.c54c14c7cfe4cf0dc9facbcab52956b7.jpg_fliph,Comminuted fracture,8.275692575831702,11.010994902746237,3.994996789383562,10.719141700590914,0.6888149139297759,0.6480802313327381,0.8086529040927567,0.6672011932587639,1.1249235567514675,1.355226121223494,0.5955196612035225,1.3043340060738124,6.242738298638361,6.3640901627059705,5.798659200578527,6.330259241106496,0.017767704706314988,0.01708911234104932,0.019328970593949345,0.017154273779067312,0.1332955539630448,0.130725331673128,0.13902866824489596,0.13097432488494573,0.9991678199002062,0.9988924301577357,0.9995987740089969,0.9989217882043608
images20_jpg.rf.c54c14c7cfe4cf0dc9facbcab52956b7.jpg_flipv,Comminuted fracture,8.275692575831702,11.010994902746237,3.994996789383562,10.719141700590914,0.6888149139297759,0.6480802313327381,0.8086529040927567,0.6672011932587639,1.1249235567514675,1.355226121223494,0.5955196612035225,1.3043340060738124,6.242738298638361,6.3640901627059705,5.798659200578527,6.330259241106496,0.017767704706314988,0.01708911234104932,0.019328970593949345,0.017154273779067312,0.1332955539630448,0.130725331673128,0.13902866824489596,0.13097432488494573,0.9991678199002062,0.9988924301577357,0.9995987740089969,0.9989217882043608
images28_jpg.rf.c3ef71bf60c4cfeaa62743121d14dbce.jpg_original,Comminuted fracture,22.488051920254403,101.68943516607243,91.75839346868887,110.30304724629578,0.8144177277434267,0.7095643467901148,0.7415475027340679,0.7042949159915775,1.2121529476516637,2.7310825249596933,2.4060130259295502,2.8900930986017976,5.015296678543692,5.425807380328637,5.325566160398843,5.452250636894214,0.025704498906343583,0.022914717658414845,0.024199364667163013,0.022712229739954043,0.160326226508153,0.15137608020560858,0.15556144981055883,0.15070577208572353,0.9977812843127306,0.9899820860163951,0.9909517005898123,0.989133516691862
images28_jpg.rf.c3ef71bf60c4cfeaa62743121d14dbce.jpg_rot45,Comminuted fracture,87.15414016634053,154.85669861864804,90.85614145058709,92.50708292324248,0.7528211582730531,0.6844699891856523,0.7473712511831025,0.7693628810480095,2.1657518957925643,3.517265941843054,2.2703644814090014,1.9446310331225756,5.12034472493755,5.390782531710979,5.144147053338335,5.059937771783527,0.04269961635201251,0.04137521987474753,0.04258014078922677,0.042755929822976074,0.20663885489426356,0.20340899654328845,0.2063495597020424,0.20677507060324288,0.9934169808524986,0.9883014892675552,0.9931377470383896,0.9930116351952605
images28_jpg.rf.c3ef71bf60c4cfeaa62743121d14dbce.jpg_fliph,Comminuted fracture,22.488051920254403,110.30304724629578,91.75839346868887,101.68943516607243,0.8144177277434267,0.7042949159915775,0.7415475027340679,0.7095643467901148,1.2121529476516637,2.8900930986017976,2.4060130259295502,2.7310825249596933,5.015296678543692,5.452250636894214,5.325566160398843,5.425807380328637,0.025704498906343583,0.022712229739954043,0.024199364667163013,0.022914717658414845,0.160326226508153,0.15070577208572353,0.15556144981055883,0.15137608020560858,0.9977812843127306,0.989133516691862,0.9909517005898123,0.9899820860163951
images28_jpg.rf.c3ef71bf60c4cfeaa62743121d14dbce.jpg_flipv,Comminuted fracture,22.488051920254403,110.30304724629578,91.75839346868887,101.68943516607243,0.8144177277434267,0.7042949159915775,0.7415475027340679,0.7095643467901148,1.2121529476516637,2.8900930986017976,2.4060130259295502,2.7310825249596933,5.015296678543692,5.452250636894214,5.325566160398843,5.425807380328637,0.025704498906343583,0.022712229739954043,0.024199364667163013,0.022914717658414845,0.160326226508153,0.15070577208572353,0.15556144981055883,0.15137608020560858,0.9977812843127306,0.989133516691862,0.9909517005898123,0.9899820860163951
images29_jpg.rf.06d47153ab1aae30d7600cdff192dee9.jpg_original,Comminuted fracture,9.582161203522507,20.65546241014702,6.471521067759295,9.320828275014266,0.5825723274700834,0.483557381136813,0.6602700709884421,0.5872794349051477,1.504456641389433,2.286874667299834,1.1784147199119372,1.5185680201898735,6.93887441357218,7.294164969341029,6.728440231744286,6.95419436028416,0.0020118352333918597,0.0015444281457624648,0.002494107554716649,0.0020285021806192996,0.044853486301422094,0.03929921304253388,0.04994104078527648,0.04503889630773938,0.9991110199090412,0.9980831157505411,0.9993999903586955,0.9991350002457121
images29_jpg.rf.06d47153ab1aae30d7600cdff192dee9.jpg_rot45,Comminuted fracture,26.7694739175636,50.324378353330445,21.1489687805773,20.562597416523378,0.637758786833519,0.6454689084890586,0.7164868242564462,0.5814871710341049,1.5272940618884543,1.6551866759088703,1.059912396037182,1.8002152258914452,6.28620132421795,6.306894790257107,6.018623999036952,6.470215143936494,0.02969879821583104,0.02946826162584768,0.030067391379699906,0.0292170150339852,0.17233339263135,0.17166322152938782,0.1733995137816133,0.1709298541331654,0.9980341609832002,0.9963008523420266,0.9984465544985967,0.9984885241196397
images29_jpg.rf.06d47153ab1aae30d7600cdff192dee9.jpg_fliph,Comminuted fracture,9.582161203522507,9.320828275014266,6.471521067759295,20.65546241014702,0.5825723274700834,0.5872794349051477,0.6602700709884421,0.483557381136813,1.504456641389433,1.5185680201898735,1.1784147199119372,2.286874667299834,6.93887441357218,6.95419436028416,6.728440231744286,7.294164969341029,0.0020118352333918597,0.0020285021806192996,0.002494107554716649,0.0015444281457624648,0.044853486301422094,0.04503889630773938,0.04994104078527648,0.03929921304253388,0.9991110199090412,0.9991350002457121,0.9993999903586955,0.9980831157505411
images29_jpg.rf.06d47153ab1aae30d7600cdff192dee9.jpg_flipv,Comminuted fracture,9.582161203522507,9.320828275014266,6.471521067759295,20.65546241014702,0.5825723274700834,0.5872794349051477,0.6602700709884421,0.483557381136813,1.504456641389433,1.5185680201898735,1.1784147199119372,2.286874667299834,6.93887441357218,6.95419436028416,6.728440231744286,7.294164969341029,0.0020118352333918597,0.0020285021806192996,0.002494107554716649,0.0015444281457624648,0.044853486301422094,0.04503889630773938,0.04994104078527648,0.03929921304253388,0.9991110199090412,0.9991350002457121,0.9993999903586955,0.9980831157505411
